episode,return,steps,epsilon
1,4600.0,1773,1.0
2,3400.0,1464,0.97625
3,8700.0,3000,0.9525
4,6400.0,2794,0.92875
5,6200.0,2961,0.905
6,6100.0,3000,0.88125
7,7100.0,2657,0.8575
8,5900.0,2210,0.83375
9,8900.0,3000,0.81
10,7900.0,2724,0.78625
11,6600.0,2253,0.7625
12,6300.0,1859,0.73875
13,10200.0,3000,0.7150000000000001
14,10600.0,3000,0.69125
15,10900.0,2940,0.6675
16,6900.0,1960,0.64375
17,11400.0,2994,0.62
18,11700.0,2946,0.5962500000000001
19,13700.0,3000,0.5725
20,11000.0,2584,0.54875
21,11000.0,2704,0.525
22,11000.0,3000,0.50125
23,10500.0,2329,0.47750000000000004
24,9500.0,2510,0.4537500000000001
25,10200.0,2411,0.43000000000000005
26,11900.0,2832,0.40625
27,10300.0,2012,0.38250000000000006
28,11000.0,2519,0.35875
29,16100.0,3000,0.3350000000000001
30,16100.0,3000,0.31125
31,16100.0,3000,0.2875
32,25700.0,3000,0.26375000000000004
33,7400.0,1312,0.24
34,11400.0,2505,0.21625000000000005
35,15400.0,3000,0.19250000000000012
36,16100.0,3000,0.16874999999999996
37,24100.0,3000,0.14500000000000013
38,16100.0,3000,0.12125000000000008
39,13400.0,2568,0.09749999999999992
40,10600.0,2058,0.0737500000000001
41,16100.0,3000,0.050000000000000044
42,17300.0,2723,0.05
43,12000.0,2376,0.05
44,17500.0,3000,0.05
45,15600.0,2689,0.05
46,11800.0,1631,0.05
47,17900.0,3000,0.05
48,16100.0,3000,0.05
49,9700.0,1154,0.05
50,16100.0,3000,0.05
