episode,return,steps,epsilon
1,5900.0,2298,1.0
2,8300.0,3000,0.9525
3,5900.0,2587,0.905
4,6100.0,3000,0.8575
5,7800.0,3000,0.81
6,8800.0,3000,0.7625
7,8700.0,2805,0.7150000000000001
8,9200.0,2380,0.6675
9,11000.0,3000,0.62
10,8200.0,1887,0.5725
11,7200.0,1930,0.525
12,8600.0,2398,0.47750000000000004
13,7400.0,1610,0.43000000000000005
14,11700.0,2592,0.38250000000000006
15,9000.0,3000,0.3350000000000001
16,6500.0,2448,0.2875
17,10600.0,2648,0.24
18,8300.0,2667,0.19250000000000012
19,10900.0,2801,0.14500000000000013
20,13800.0,3000,0.09749999999999992
21,5600.0,1465,0.050000000000000044
22,12300.0,2831,0.05
23,7300.0,2068,0.05
24,9900.0,2985,0.05
25,7700.0,2051,0.05
26,9900.0,2699,0.05
27,6000.0,1306,0.05
28,10500.0,3000,0.05
29,11600.0,2853,0.05
30,9300.0,2899,0.05
31,7600.0,2072,0.05
32,12400.0,3000,0.05
33,12000.0,2567,0.05
34,8800.0,2294,0.05
35,12200.0,1674,0.05
36,15300.0,2461,0.05
37,16100.0,3000,0.05
38,16100.0,3000,0.05
39,10700.0,2342,0.05
40,8200.0,2296,0.05
41,11000.0,3000,0.05
42,11000.0,2730,0.05
43,8400.0,3000,0.05
44,7900.0,2374,0.05
45,16100.0,3000,0.05
46,24300.0,3000,0.05
47,8100.0,2238,0.05
48,9000.0,3000,0.05
49,8900.0,3000,0.05
50,9100.0,3000,0.05
