episode,return,steps,epsilon
1,6000.0,2106,1.0
2,5900.0,2462,0.988125
3,5900.0,2426,0.97625
4,5900.0,2167,0.964375
5,8800.0,2797,0.9525
6,6300.0,2320,0.940625
7,10100.0,2904,0.92875
8,5900.0,2363,0.916875
9,9900.0,3000,0.905
10,8600.0,3000,0.8931250000000001
11,7000.0,2223,0.88125
12,9300.0,2463,0.869375
13,11000.0,3000,0.8575
14,11100.0,3000,0.8456250000000001
15,3900.0,2053,0.83375
16,3400.0,3000,0.821875
17,3400.0,3000,0.81
18,3400.0,3000,0.798125
19,11300.0,2579,0.78625
20,5400.0,2487,0.774375
21,3400.0,2770,0.7625
22,8500.0,3000,0.750625
23,8800.0,2376,0.73875
24,6900.0,2259,0.726875
25,6700.0,1625,0.7150000000000001
26,9800.0,2322,0.703125
27,11500.0,2375,0.69125
28,10400.0,2374,0.6793750000000001
29,8600.0,1916,0.6675
30,9800.0,2070,0.655625
31,8300.0,1837,0.64375
32,9700.0,2143,0.631875
33,8000.0,1880,0.62
34,11000.0,2522,0.608125
35,9500.0,2479,0.5962500000000001
36,11000.0,2500,0.584375
37,11000.0,2692,0.5725
38,9800.0,2284,0.560625
39,10000.0,2355,0.54875
40,11300.0,2835,0.536875
41,11300.0,2239,0.525
42,11100.0,1946,0.513125
43,11500.0,2411,0.50125
44,13700.0,2673,0.489375
45,11400.0,2158,0.47750000000000004
46,13500.0,2702,0.46562499999999996
47,11200.0,2849,0.4537500000000001
48,11600.0,1958,0.441875
49,11400.0,2072,0.43000000000000005
50,13400.0,2665,0.4181250000000001
