episode,return,steps,epsilon
1,6100.0,2835,1.0
2,4800.0,2024,0.97625
3,6500.0,2774,0.9525
4,6800.0,2912,0.92875
5,5200.0,1838,0.905
6,7400.0,2494,0.88125
7,6300.0,2266,0.8575
8,10800.0,3000,0.83375
9,10300.0,2692,0.81
10,7600.0,2080,0.78625
11,8700.0,2197,0.7625
12,4300.0,2048,0.73875
13,10000.0,2900,0.7150000000000001
14,5900.0,1704,0.69125
15,9700.0,2482,0.6675
16,10600.0,2959,0.64375
17,10700.0,2530,0.62
18,11000.0,3000,0.5962500000000001
19,6900.0,1564,0.5725
20,11000.0,2569,0.54875
21,11300.0,2999,0.525
22,11000.0,2462,0.50125
23,12700.0,2498,0.47750000000000004
24,10700.0,2077,0.4537500000000001
25,13800.0,2675,0.43000000000000005
26,11300.0,2956,0.40625
27,11900.0,2377,0.38250000000000006
28,14500.0,2475,0.35875
29,15800.0,3000,0.3350000000000001
30,14900.0,2162,0.31125
31,24600.0,2772,0.2875
32,16500.0,2605,0.26375000000000004
33,14400.0,2130,0.24
34,24600.0,2712,0.21625000000000005
35,26600.0,2775,0.19250000000000012
36,12800.0,2105,0.16874999999999996
37,25100.0,2791,0.14500000000000013
38,18300.0,2484,0.12125000000000008
39,15900.0,1901,0.09749999999999992
40,19300.0,3000,0.0737500000000001
41,15900.0,3000,0.050000000000000044
42,29100.0,3000,0.05
43,18500.0,3000,0.05
44,15900.0,3000,0.05
45,16100.0,3000,0.05
46,19900.0,2867,0.05
47,19900.0,3000,0.05
48,15800.0,1745,0.05
49,16300.0,3000,0.05
50,16000.0,3000,0.05
