episode,return,steps,epsilon
1,5900.0,2082,1.0
2,5900.0,2322,0.97625
3,7900.0,3000,0.9525
4,7700.0,2701,0.92875
5,6500.0,2184,0.905
6,8600.0,2791,0.88125
7,8300.0,2692,0.8575
8,8900.0,2755,0.83375
9,8900.0,2403,0.81
10,10100.0,3000,0.78625
11,3500.0,1339,0.7625
12,8400.0,2195,0.73875
13,8600.0,2228,0.7150000000000001
14,9800.0,2498,0.69125
15,11500.0,3000,0.6675
16,11100.0,2266,0.64375
17,13400.0,3000,0.62
18,9600.0,2032,0.5962500000000001
19,11300.0,2653,0.5725
20,11600.0,3000,0.54875
21,12200.0,2615,0.525
22,9900.0,2202,0.50125
23,10300.0,2140,0.47750000000000004
24,13000.0,3000,0.4537500000000001
25,6000.0,1625,0.43000000000000005
26,12500.0,2626,0.40625
27,10200.0,2171,0.38250000000000006
28,13600.0,3000,0.35875
29,11200.0,2241,0.3350000000000001
30,7400.0,1598,0.31125
31,8800.0,2047,0.2875
32,12000.0,2824,0.26375000000000004
33,14100.0,3000,0.24
34,14600.0,3000,0.21625000000000005
35,10100.0,2223,0.19250000000000012
36,10600.0,2715,0.16874999999999996
37,7400.0,2060,0.14500000000000013
38,6000.0,1539,0.12125000000000008
39,9000.0,2495,0.09749999999999992
40,9800.0,2516,0.0737500000000001
41,10200.0,2677,0.050000000000000044
42,9200.0,2311,0.05
43,7400.0,2331,0.05
44,11100.0,3000,0.05
45,9700.0,2712,0.05
46,11100.0,3000,0.05
47,6500.0,2332,0.05
48,6100.0,1748,0.05
49,6000.0,1668,0.05
50,4900.0,1699,0.05
